"My Returns (RMA)","Moje zwroty (RMA)"
"Add Reply / Note","Dodaj odpowiedź lub notatkę"
"Canned Reply:","Gotowa odpowiedź:"
"Internal Note (hidden from customer)","Notatka wewnętrzna (niewidoczna dla klienta)"
"Submit Message","Wyślij wiadomość"
"By: %1","Autor: %1"
"Step 1: Locate Order","Krok 1: znajdź zamówienie"
"Order Increment ID","Numer zamówienia"
"Search Order","Szukaj zamówienia"
"Searching...","Wyszukiwanie..."
"Step 2: Return Items & Options","Krok 2: produkty i opcje zwrotu"
"Customer Name:","Nazwa klienta:"
"Customer Email:","E-mail klienta:"
"Select","Wybierz"
"Qty Ordered","Zamówiona liczba"
"Qty Returnable","Liczba możliwa do zwrotu"
"Select Resolution","Wybierz sposób rozpatrzenia"
"Admin Comment","Komentarz administratora"
"Submitting...","Wysyłanie..."
"Please enter an Order ID.","Wprowadź identyfikator zamówienia."
"An error occurred during search.","Wystąpił błąd podczas wyszukiwania."
"No returnable items found.","Nie znaleziono produktów możliwych do zwrotu."
"Select...","Wybierz..."
"Invalid quantity selected.","Wybrano nieprawidłową liczbę sztuk."
"Please select at least one item to return.","Wybierz co najmniej jeden produkt do zwrotu."
"Please select a desired resolution.","Wybierz oczekiwany sposób rozpatrzenia."
"An error occurred during submission.","Wystąpił błąd podczas wysyłania."
"My Account","Moje konto"
"Order","Zamówienie"
"Remove","Usuń"
"for returns.","dla zwrotów."
"Date","Data"
"View Details","Zobacz szczegóły"
"Date:","Data:"
"Name:","Nazwa:"
"Email:","E-mail:"
"Order ID:","Identyfikator zamówienia:"
"Resolution:","Sposób rozpatrzenia:"
"RMA ID: ","Identyfikator RMA: "
"Phone: %1","Telefon: %1"
"Warehouse Returns Dept.","Dział zwrotów magazynu"
"ul. Magazynowa 14A","ul. Magazynowa 14A"
"00-001 Warszawa, Polska","00-001 Warszawa, Polska"
"Support Team","Zespół obsługi klienta"
"You","Ty"
"Please download and print this shipping label, then attach it to your return package.","Pobierz i wydrukuj etykietę wysyłkową, a następnie umieść ją na paczce zwrotnej."
"Return Lookup","Wyszukiwanie zwrotu"
"e.g. Kowalski","np. Kowalski"
"Back to Return Lookup","Wróć do wyszukiwania zwrotu"
"A return shipping label has been uploaded for your return request. You can now download and print this label to return your items.","Etykieta wysyłkowa została dodana do zgłoszenia zwrotu. Możesz ją teraz pobrać i wydrukować."
"Kkkonrad","Kkkonrad"
"Allowed Order Statuses for Return","Statusy zamówień dozwolone dla zwrotu"
"Select order statuses for which customer can request a return. Leave blank to allow complete orders only.","Wybierz statusy zamówień, dla których klient może zgłosić zwrot. Pozostaw puste, aby zezwolić tylko na zamówienia zrealizowane."
"Custom CSS","Własny CSS"
"Natively injected CSS styles on all customer-facing RMA pages.","Style CSS dodawane do wszystkich stron RMA widocznych dla klienta."
"Custom JavaScript","Własny JavaScript"
"Natively injected script/code on all customer-facing RMA pages.","Kod JavaScript dodawany do wszystkich stron RMA widocznych dla klienta."
"Allow Guest Returns (RMA)","Zezwalaj na zwroty gości (RMA)"
"Enable to allow guest checkout orders to request and manage returns without logging in.","Włącz, aby klienci niezalogowani mogli zgłaszać zwroty i nimi zarządzać."
"Require Terms and Conditions","Wymagaj akceptacji warunków"
"Require customers to accept Terms and Conditions before creating RMA.","Wymagaj zaakceptowania warunków przed utworzeniem RMA."
"Terms and Conditions CMS Page","Strona CMS z warunkami zwrotu"
"Select the page that contains terms and conditions for returns.","Wybierz stronę zawierającą warunki zwrotu."
"Excluded Customer Groups","Wykluczone grupy klientów"
"Select customer groups that are NOT allowed to create RMA requests.","Wybierz grupy klientów, które nie mogą tworzyć zgłoszeń RMA."
"Shipping Label Uploaded Email Template","Szablon e-mail po dodaniu etykiety wysyłkowej"
"Admin Notification Email","Adres e-mail powiadomień administratora"
"Email address to notify when a new RMA is created. Leave empty to disable.","Adres e-mail powiadamiany o nowym RMA. Pozostaw puste, aby wyłączyć powiadomienia."
"Admin Notification Email Template","Szablon e-mail powiadomienia administratora"
"New Message Notification Template (to Customer)","Szablon powiadomienia klienta o nowej wiadomości"
"Return Address","Adres zwrotny"
"Address Information","Informacje adresowe"
"Is Active","Aktywny"
"Address Name","Nazwa adresu"
"ID","Identyfikator"
"Name / Label","Nazwa / etykieta"
"Street","Ulica"
"Postcode","Kod pocztowy"
"Country ID","Kod kraju"
"Phone","Telefon"
"Is Default","Domyślny"
"Actions","Działania"
"Canned Reply","Gotowa odpowiedź"
"General Information","Informacje ogólne"
"Title / Name","Tytuł / nazwa"
"Canned Response Text","Treść gotowej odpowiedzi"
"Add New Canned Reply","Dodaj gotową odpowiedź"
"Title","Tytuł"
"Response Text","Treść odpowiedzi"
"Label","Etykieta"
"Code","Kod"
"Sort Order","Kolejność sortowania"
"Add New Condition","Dodaj stan produktu"
"Are you sure you want to delete selected RMAs?","Czy na pewno chcesz usunąć wybrane zgłoszenia RMA?"
"Delete selected items","Usuń wybrane pozycje"
"Email","E-mail"
"Return Policy","Polityka zwrotów"
"Policy Information","Informacje o polityce"
"Require Photo Attachment","Wymagaj załącznika ze zdjęciem"
"Add New Reason","Dodaj powód zwrotu"
"Return Resolution","Sposób rozpatrzenia zwrotu"
"Add New Resolution","Dodaj sposób rozpatrzenia"
"-- Select Reply --","— Wybierz odpowiedź —"
"Here you can select an order and the products you want to return or exchange, then provide a reason and choose your preferred resolution.","Tutaj możesz wybrać zamówienie i produkty, które chcesz zwrócić lub wymienić, a następnie podać powód i wybrać oczekiwany sposób rozpatrzenia."
"Here you can review the request details, current status and history, download the return slip, and contact store support.","Tutaj możesz sprawdzić szczegóły zgłoszenia, jego aktualny status i historię zmian, pobrać dokument zwrotu oraz skontaktować się z obsługą sklepu."
"Here you can find an order without signing in to submit a new return or check the status of an existing request.","Tutaj możesz odnaleźć zamówienie bez logowania, aby zgłosić nowy zwrot lub sprawdzić status istniejącego zgłoszenia."
